pickup,pickup_eng
Tuesday 12-1,Tuesday 12-1
Tuesday 1-2,Tuesday 1-2
Tuesday 2-3,Tuesday 2-3
Tuesday 3-4,Tuesday 3-4
Wednesday 10-11,Wednesday 10-11
Wednesday 11-12,Wednesday 11-12
Wednesday 12-1,Wednesday 12-1
Wednesday 1-2,Wednesday 1-2
Wednesday 2-3,Wednesday 2-3
Thursday 2-3,Thursday 2-3
Thursday 3-4,Thursday 3-4
Thursday 4-5,Thursday 4-5
Thursday 5-6,Thursday 5-6
Thursday 6-7,Thursday 6-7
Friday 10-11,Friday 10-11
Friday 11-12,Friday 11-12
Friday 12-1,Friday 12-1
Friday 1-2,Friday 1-2
Friday 2-3,Friday 2-3
Saturday 9-10,Saturday 9-10
Saturday 10-11,Saturday 10-11
Saturday 11-12,Saturday 11-12
Martes 12-1,Tuesday 12-1
Martes 1-2,Tuesday 1-2
Martes 2-3,Tuesday 2-3
Martes 3-4,Tuesday 3-4
Miércoles 10-11,Wednesday 10-11
Miércoles 11-12,Wednesday 11-12
Miércoles 12-1,Wednesday 12-1
Miércoles 1-2,Wednesday 1-2
Miércoles 2-3,Wednesday 2-3
Jueves 2-3,Thursday 2-3
Jueves 3-4,Thursday 3-4
Jueves 4-5,Thursday 4-5
Jueves 5-6,Thursday 5-6
Jueves 6-7,Thursday 6-7
Viernes 10-11,Friday 10-11
Viernes 11-12,Friday 11-12
Viernes 12-1,Friday 12-1
Viernes 1-2,Friday 1-2
Viernes 2-3,Friday 2-3
Sábado 9-10,Saturday 9-10
Sábado 10-11,Saturday 10-11
Sábado 11-12,Saturday 11-12
Terça-feira 12-1,Tuesday 12-1
Terça-feira 1-2,Tuesday 1-2
Terça-feira 2-3,Tuesday 2-3
Terça-feira 3-4,Tuesday 3-4
Quarta-feira 10-11,Wednesday 10-11
Quarta-feira 11-12,Wednesday 11-12
Quarta-feira 12-1,Wednesday 12-1
Quarta-feira 1-2,Wednesday 1-2
Quarta-feira 2-3,Wednesday 2-3
Quinta-feira 2-3,Thursday 2-3
Quinta-feira 3-4,Thursday 3-4
Quinta-feira 4-5,Thursday 4-5
Quinta-feira 5-6,Thursday 5-6
Quinta-feira 6-7,Thursday 6-7
Sexta-feira 10-11,Friday 10-11
Sexta-feira 11-12,Friday 11-12
Sexta-feira 12-1,Friday 12-1
Sexta-feira 1-2,Friday 1-2
Sexta-feira 2-3,Friday 2-3
Sábado 9-10,Saturday 9-10
Sábado 10-11,Saturday 10-11
Sábado 11-12,Saturday 11-12
Madi 12-1,Tuesday 12-1
Madi 1-2,Tuesday 1-2
Madi 2-3,Tuesday 2-3
Madi 3-4,Tuesday 3-4
Mèkredi 10-11,Wednesday 10-11
Mèkredi 11-12,Wednesday 11-12
Mèkredi 12-1,Wednesday 12-1
Mèkredi 1-2,Wednesday 1-2
Mèkredi 2-3,Wednesday 2-3
Jedi 2-3,Thursday 2-3
Jedi 3-4,Thursday 3-4
Jedi 4-5,Thursday 4-5
Jedi 5-6,Thursday 5-6
Jedi 6-7,Thursday 6-7
Vandredi 10-11,Friday 10-11
Vandredi 11-12,Friday 11-12
Vandredi 12-1,Friday 12-1
Vandredi 1-2,Friday 1-2
Vandredi 2-3,Friday 2-3
Samdi 9-10,Saturday 9-10
Samdi 10-11,Saturday 10-11
Samdi 11-12,Saturday 11-12
